"Annee_imposition","Region_administrative","Nombre_de_particuliers"
2022,"15 - Laurentides",374
2022,"16 - Montérégie",958
2022,"17 - Centre-du-Québec",82
2022,"Hors Québec ou Indéterminé",1079
2023,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",69
2023,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",72
2023,"03 - Capitale-Nationale",369
2023,"04 - Mauricie",65
2023,"05 - Estrie",290
2023,"06 - Montréal",2938
2023,"07 - Outaouais",82
2023,"08 - Abitibi-Témiscamingue",61
2023,"12 - Chaudière-Appalaches",137
2023,"13 - Laval",262
2023,"14 - Lanaudière",178
2023,"15 - Laurentides",431
2023,"16 - Montérégie",979
2023,"17 - Centre-du-Québec",92
2023,"Hors Québec ou Indéterminé",1062

